stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13702] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13704] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13707] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13711] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13713] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13715] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13717] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13719] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13721] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13723] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13725] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13727] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13729] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13731] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13734] Single Buffer requirement not met.
