stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.18901] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18910] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18929] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.18936] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18945] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.18953] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18962] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.18970] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.18978] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.18985] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.18995] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19004] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19012] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19020] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19029] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19038] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19048] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19056] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19065] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.19072] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19079] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19087] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19096] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19104] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19113] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19122] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19135] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19146] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19157] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.19166] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19180] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19190] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19201] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19210] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19219] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19231] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19241] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19249] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19256] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.19265] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19278] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19288] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19297] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19305] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19314] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19322] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19331] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19340] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19349] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.19357] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19364] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19371] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19379] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19385] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19394] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19402] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19410] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19416] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19424] Score is : 589
